Link,Nome,Preço
https://www.kabum.com.br/produto/112998,"Processador Intel Core i9-10900, 2.8GHz, Cache 20MB, LGA 1200 - BX8070110900","R$ 1.979,99"
https://www.kabum.com.br/produto/378412,"Processador AMD Ryzen 9 7900X, 5.6GHz Max Turbo, Cache 76MB, AM5, 12 Núcleos, Vídeo Integrado - 100-100000589WOF","R$ 3.811,75"
https://www.kabum.com.br/produto/368279,"Processador AMD Ryzen Threadripper Pro 5965WX, 128 MB, 24 Núcleos, SP3 - 100-100000446WOF","R$ 10.999,99"
https://www.kabum.com.br/produto/283718,"Processador Intel Core i5-12400F, 2.5GHz (4.4GHz Max Turbo), Cache 18MB, LGA 1700 - BX8071512400F","R$ 1.039,99"
https://www.kabum.com.br/produto/148916,"Processador Intel Core i7-11700F 11ª Geração, 2.5 GHz (4.8GHz Turbo), Cache 16MB, Octa Core, 16 Threads, LGA1200 - BX8070811700F","R$ 1.599,99"
https://www.kabum.com.br/produto/389811,"Processador Intel Core I5 - 10400F, 2.9GHz, Cache 12MB, Hexa Core, 12 Threads, LGA 1200","R$ 845,78"
https://www.kabum.com.br/produto/167498,"Processador Intel Core I5-10600KF, 4.1GHz, Cache 12MB, LGA 1200 - BX8070110600KF","R$ 989,10"
https://www.kabum.com.br/produto/405763,"Processador Intel Core i7-13700F, 5.2GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071513700F","R$ 2.499,99"
https://www.kabum.com.br/produto/405765,"Processador Intel Core i5-13400, 4.6GHz Max Turbo, Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071513400","R$ 1.599,99"
https://www.kabum.com.br/produto/404149,"Processador Intel Pentium Gold G6405, 4.10 GHz, Cache 4MB, Dual Core, 4 Threads, LGA1200 - BX80701G6405","R$ 419,99"
https://www.kabum.com.br/produto/283710,"Processador Intel Core i7-12700, Cache 25MB, 2.1GHz (4.9GHz Max Turbo), LGA 1700 - BX8071512700","R$ 2.099,99"
https://www.kabum.com.br/produto/315007,"Processador AMD Ryzen 7 PRO, 4750GE - 100100000152MPKI","R$ 2.104,57"
https://www.kabum.com.br/produto/421577,Processador Intel Core I7-13700f Box LGA 1700 30MB Cache) Sem Vídeo Integrado - Bx8071513700f,"R$ 2.532,07"
https://www.kabum.com.br/produto/394184,"Processador Intel I7-2600, 3.80GHz, Cache 8MB, FCLGA 1155","R$ 315,00"
https://www.kabum.com.br/produto/309843,"Processador Intel Core I9-12900KF, 3.2GHz, Cache 30MB, Hexa Core, 24 Threads, LGA 1700 - BX8071512900KF","R$ 3.148,32"
https://www.kabum.com.br/produto/112992,"Processador Intel Core i5-10600K, 4.1GHz (4.8GHz Max Turbo), Cache 12MB, LGA 1200 - BX8070110600K","R$ 1.199,99"
https://www.kabum.com.br/produto/169602,"Processador Intel Celeron G5905, 4MB, 3.5ghz, LGA 1200, Bx80701g5905","R$ 319,00"
https://www.kabum.com.br/produto/333154,"Processador AMD Ryzen 5 4500, 3.6GHz (4.1GHz Max Turbo) Cache 11MB, AM4, Sem Vídeo - 100-100000644BOX","R$ 549,99"
https://www.kabum.com.br/produto/270886,"Processador Intel Core I7-12700K, 3.6GHz (5.0GHz Max Turbo), Cache 25MB, LGA 1700 - BX8071512700K","R$ 2.360,08"
https://www.kabum.com.br/produto/218344,"Processador Intel Core I3-10105 10ª Geração, 3.70GHz, Cache 6MB, Quad Core, 8 Threads, LGA 1200 - BX8070110105","R$ 788,79"
https://www.kabum.com.br/produto/320796,"Processador AMD Ryzen 7 5800X3D, 3.4GHz (4.5GHz Max Turbo), Cache 100MB, AM4, Sem Vídeo - 100-100000651WOF","R$ 1.999,99"
https://www.kabum.com.br/produto/390988,"Processador AMD Ryzen 7 7700X, 5.4GHz, Cache 40MB, AM5, Radeon Graphics Com Vídeo - 100-100000591WOF","R$ 2.233,72"
https://www.kabum.com.br/produto/390987,"Processador AMD Ryzen 5 7600X, 5.3GHz, Cache 38MB, AM5, Radeon Graphics - 100-100000593WOF","R$ 1.690,57"
https://www.kabum.com.br/produto/327442,"Processador Intel I3-12100F, 3.3GHz, Cache 12MB, Quad Core, 8 Threads, LGA 1700 - BX8071512100F","R$ 599,00"
https://www.kabum.com.br/produto/167946,"Processador Intel Core I5-10400, 2.9GHz, Cache 12MB, LGA 1200 - BX8070110400","R$ 1.290,00"
https://www.kabum.com.br/produto/394046,"Processador Intel I5-4570, 3.60GHz, Cache 6MB, FCLGA 1150","R$ 179,00"
https://www.kabum.com.br/produto/400719,"Processador Intel Core I5 13600kf, 5.10ghz Max Turbo, 14-core, Lga1700","R$ 2.313,25"
https://www.kabum.com.br/produto/352516,"Processador Intel I7-12700F 12ª Geração, 2.1GHz Turbo, Cache 25MB, Dual Core, 20 Threads, LGA 1700 - BX8071512700F","R$ 2.091,77"
https://www.kabum.com.br/produto/169808,"Processador Intel Xeon Lenovo DCG Silver 4208, 8C SR630 - 4XG7A37936","R$ 7.171,48"
https://www.kabum.com.br/produto/129451,"Processador AMD Ryzen 5 5600X, 3.7GHz (4.6GHz Max Turbo), Cache 35MB, 6 Núcleos, 12 Threads, AM4 - 100-100000065BOX","R$ 1.049,99"
https://www.kabum.com.br/produto/304453,"Processador Intel Core I3 4160, 3.6GHz, Cache 3MB, 1150, Sem Cooler","R$ 126,00"
https://www.kabum.com.br/produto/345271,"Processador AMD A6-5400K, 3.6GHz, Dual Core, FM2, OEM - AD540KOKA23HJ","R$ 146,99"
https://www.kabum.com.br/produto/345298,"Processador Intel Core I5, 3.30GHz, Quad Core, 4 Threads, HD Graphics 4600, OEM","R$ 352,54"
https://www.kabum.com.br/produto/241881,"Processador AMD Ryzen 7 5700G, 3.8GHz (4.6GHz Turbo), Cache 20MB, Octa Core, 16 Threads, AM4, Vega, Box - 100-100000263BOX","R$ 1.744,12"
https://www.kabum.com.br/produto/212492,"Processador Intel Core I3 4130 4ª Geração, 3.40GHz, Cache 3MB, Dual Core, 4 Threads, LGA 1150, OEM","R$ 129,85"
https://www.kabum.com.br/produto/170007,"Processador Intel Xeon E-2176G, 3.70GHz, Cache 12MB, Hexa Core, LGA 1151, E2176G - BX80684E2176G","R$ 4.619,38"
https://www.kabum.com.br/produto/233462,"Processador Intel Core I9-10900X Cascade Lake, 3.70GHz, Cache 19MB, LGA 2066, Sem Cooler, Sem Ví­deo On Board - BX8069510900X","R$ 7.548,64"
https://www.kabum.com.br/produto/463676,"Processador Intel Core I5 11400, 2.6ghz, (4.4ghz Turbo), 11ª Geração, 6-cores 12-threads, Lga 1200 - Box","R$ 1.491,77"
https://www.kabum.com.br/produto/444813,Processador Intel Core I5 4570s 2.90ghz 6MB - 3408b023 - 4ª Geração Oem 1150,"R$ 185,63"
https://www.kabum.com.br/produto/419331,"Kit - Processador Intel Core I7 10700f 2.9GHz (turbo 4.8GHz), Octa Core, 16 threads + Pasta Térmica Cooler Master","R$ 1.899,90"
https://www.kabum.com.br/produto/425339,"Processador Intel Core I3-3220, 3.3GHz, 3MB, 2 Núcleos, 4 Threads, LGA 1155, Vídeo Integrado - Sk1155","R$ 149,90"
https://www.kabum.com.br/produto/400586,"Processador AMD Ryzen 5 3600, 3.6GHz (4.2GHz Max Boost), Cache 32MB, AM4, DDR4","R$ 986,56"
https://www.kabum.com.br/produto/422674,"Processador AMD Ryzen 5 2400g, 3.6GHz, Quad Core, AM4 Oem","R$ 895,08"
https://www.kabum.com.br/produto/345225,"Processador Intel Core I5, 2.0GHz, Cache 6MB, Quad Core, 4 Threads, LGA 1150, OEM - 4590T","R$ 378,83"
https://www.kabum.com.br/produto/345265,"Processador Intel Core I3-4160, 3.60GHz, LGA 1150, OEM","R$ 151,77"
https://www.kabum.com.br/produto/465245,"Processador Intel I5-2400, 3.40ghz, Cache 6mb,1155, Oem - FCLGA","R$ 129,00"
https://www.kabum.com.br/produto/458527,"Processador Intel Core I7-13700f 2.1ghz,5.2ghz Max Turbo,Cache 25mb LGA1700 - BX8071513700F","R$ 2.941,39"
https://www.kabum.com.br/produto/463690,"Processador Intel Core I5-3470, 3.2ghz, Cache 6mb, Quad Core, Lga 1155","R$ 272,59"
https://www.kabum.com.br/produto/463692,"Processador Intel Celeron G5905, 3.5ghz, 2-cores 2-threads, Lga 1200 - Box","R$ 314,89"
https://www.kabum.com.br/produto/467741,"Processador AMD A8 7600 Quad Core, Cache 4MB, 3.8GHZ, Fm2+ Imp (oem) Sem Cooler","R$ 479,99"
https://www.kabum.com.br/produto/424531,"Processador Intel I7-4770,3,9ghz,8MB Cache - FCLGA1150","R$ 555,80"
